Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
LengthTaintStrategy,1633489658_833007_1_32,1633489658,0,0,84,NOT_FLIPPED,4.220008850097656e-05,8,122,792,46,0,84,98,0,496,1,Wrong statement
LengthTaintStrategy,3307621814_875807_2_511,3307621814,0,0,667,NOT_FLIPPED,0.000118255615234375,11,18,164,1,10,667,1219,0,4978,1,Wrong statement
LengthTaintStrategy,3307621814_651763_0_511,3307621814,0,0,453,NOT_FLIPPED,0.00011110305786132812,13,18,164,1,10,453,1695,0,3978,1,Wrong statement
LengthTaintStrategy,3307621814_52882_2_255,3307621814,0,0,756,NOT_FLIPPED,8.440017700195312e-05,7,18,164,1,10,756,1236,0,3188,1,Wrong statement
LengthTaintStrategy,3307650128_833007_0_32,3307650128,0,0,38,NOT_FLIPPED,5.316734313964844e-05,13,122,792,48,0,38,50,0,52,1,Wrong statement
LengthTaintStrategy,3307621814_1013586_2_255,3307621814,0,0,184,NOT_FLIPPED,4.553794860839844e-05,3,18,164,1,10,184,693,0,622,1,Wrong statement
LengthTaintStrategy,1332978173_509569_0_288,1332978173,0,0,34,NOT_FLIPPED,5.602836608886719e-05,1,122,792,14,0,34,50,0,20,1,Wrong statement
LengthTaintStrategy,3307621814_356714_0_255,3307621814,0,0,480,NOT_FLIPPED,4.696846008300781e-05,13,18,164,1,10,480,974,0,5462,1,Wrong statement
LengthTaintStrategy,3307621814_573648_2_255,3307621814,0,0,329,NOT_FLIPPED,6.198883056640625e-05,13,18,164,1,10,329,909,0,3602,1,Wrong statement
LengthTaintStrategy,3307644023_1004785_0_32,3307644023,0,0,765,NOT_FLIPPED,5.6743621826171875e-05,9,18,164,35,0,765,1242,0,3259,1,Wrong statement
LengthTaintStrategy,3307644023_566136_1_32,3307644023,0,0,765,NOT_FLIPPED,4.7206878662109375e-05,9,18,164,35,0,765,1237,0,3262,1,Wrong statement
LengthTaintStrategy,3307644023_356714_1_32,3307644023,0,0,1008,NOT_FLIPPED,4.839897155761719e-05,15,18,164,35,0,1008,1154,0,12840,1,Wrong statement
LengthTaintStrategy,3307621814_242622_2_255,3307621814,0,0,756,NOT_FLIPPED,6.29425048828125e-05,7,18,164,1,10,756,1236,0,3188,1,Wrong statement
LengthTaintStrategy,1332978173_384186_0_32,1332978173,0,0,689,NOT_FLIPPED,0.00010371208190917969,7,122,792,14,0,689,1226,0,2650,1,Wrong statement
LengthTaintStrategy,3307621814_129207_0_255,3307621814,0,0,755,NOT_FLIPPED,3.647804260253906e-05,7,18,164,1,10,755,1236,0,3178,1,Wrong statement
LengthTaintStrategy,3407425844_509569_0_32,3407425844,0,0,225,NOT_FLIPPED,4.458427429199219e-05,2,122,792,46,0,225,690,0,777,1,Wrong statement
LengthTaintStrategy,3307621814_520870_0_511,3307621814,0,0,453,NOT_FLIPPED,5.054473876953125e-05,13,18,164,1,10,453,1695,0,3978,1,Wrong statement
LengthTaintStrategy,3307644023_405105_1_288,3307644023,0,0,435,NOT_FLIPPED,5.2928924560546875e-05,18,18,164,35,0,435,1113,0,5054,1,Wrong statement
LengthTaintStrategy,3307644023_108933_0_32,3307644023,0,0,694,NOT_FLIPPED,3.814697265625e-05,5,18,164,35,0,694,704,0,2660,1,Wrong statement
LengthTaintStrategy,3307705832_962516_0_40,3307705832,0,0,442,NOT_FLIPPED,4.4345855712890625e-05,17,122,792,55,0,442,966,0,4934,1,Wrong statement
LengthTaintStrategy,3307644023_449984_0_32,3307644023,0,0,684,NOT_FLIPPED,3.504753112792969e-05,5,18,164,35,0,684,694,0,2620,1,Wrong statement
LengthTaintStrategy,3307621814_782519_2_255,3307621814,0,0,221,NOT_FLIPPED,4.601478576660156e-05,3,18,164,1,10,221,693,0,770,1,Wrong statement
LengthTaintStrategy,3307621814_781256_0_255,3307621814,0,0,159,NOT_FLIPPED,3.790855407714844e-05,9,18,164,1,10,159,313,0,1260,1,Wrong statement
