Strategy, min, max, average
GradientDescentStrategy,0.00,0.22,0.02
LengthTaintStrategy,0.00,0.02,0.00
ConcolicStrategy,0.05,9.94,0.65
RandomTaintStrategy,0.00,1.78,0.21
RandomStrategy,0.00,0.19,0.08
MagicByteStrategy,0.00,0.05,0.00
OneByteStrategy,0.00,0.03,0.00
