Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
GradientDescentStrategy,1068226472_27448_1_36,1068226472,1405,1411,333,MAXIMUM_EXECUTION_TIME_REACHED,15.001153564453125,6,165,1400,2,0,333,1171,0,440,5,random
GradientDescentStrategy,3219392499_27448_0_32770,3219392499,3353,3353,290,MAXIMUM_EXECUTION_TIME_REACHED,15.000587558746338,2,165,1400,3,0,290,1171,0,8,5,random
GradientDescentStrategy,3491168303_453402_0_32771,3491168303,0,0,1543,NOT_FLIPPED,3.6382675170898436e-05,0,40,367,5,0,1543,2716,0,0,5,No offsets
GradientDescentStrategy,2957889287_578505_1_32771,2957889287,0,0,45,NOT_FLIPPED,4.739761352539063e-05,0,73,631,3,0,45,564,0,0,5,No offsets
GradientDescentStrategy,3204516067_142104_0_32,3204516067,1160,1160,421,MAXIMUM_EXECUTION_TIME_REACHED,15.005501079559327,1,-,-,-,-,421,1278,0,48,5,random
GradientDescentStrategy,1265116198_482850_0_288,1265116198,0,0,1859,NOT_FLIPPED,4.825592041015625e-05,0,6,37,3,0,1859,2381,0,0,5,No offsets
GradientDescentStrategy,3491180744_272543_0_36,3491180744,0,0,1865,NOT_FLIPPED,5.4883956909179685e-05,0,9,86,6,0,1865,2381,0,0,5,No offsets
GradientDescentStrategy,3219376824_767489_0_36,3219376824,3702,5817,455,MAXIMUM_EXECUTION_TIME_REACHED,15.001562118530273,5,165,1400,24,0,455,1268,0,336,5,
GradientDescentStrategy,1883630807_30521_0_288,1883630807,389,389,717,MAXIMUM_EXECUTION_TIME_REACHED,15.014759397506714,1,27,314,10,0,717,1442,0,37,5,random
GradientDescentStrategy,1355704752_245723_0_36,1355704752,460,460,1736,MAXIMUM_EXECUTION_TIME_REACHED,15.058889150619507,2,-,-,-,-,1736,2381,0,156,5,random
GradientDescentStrategy,3491162726_572790_0_32771,3491162726,0,0,2180,NOT_FLIPPED,4.901885986328125e-05,0,334,2206,679,0,2180,2860,0,0,5,No offsets
GradientDescentStrategy,3491199719_208561_0_288,3491199719,906,906,2425,MAXIMUM_EXECUTION_TIME_REACHED,15.00199646949768,1,27,314,33,0,2425,2501,0,1,5,random
GradientDescentStrategy,1641142382_711506_0_32,1641142382,0,3,190,FLIPPED_CONDITION,0.0579474925994873,1,24,216,9,0,190,1569,1,2,5,
GradientDescentStrategy,474417382_114499_0_288,474417382,0,3,345,FLIPPED_CONDITION,0.014846992492675782,1,77,773,14,0,345,1715,1,8,5,
GradientDescentStrategy,3219365076_27448_1_36,3219365076,5,8,281,FLIPPED_CONDITION,0.09166760444641113,4,165,1400,23,0,281,1087,1,176,5,
GradientDescentStrategy,851199811_578505_1_32771,851199811,0,0,49,NOT_FLIPPED,5.5694580078125e-05,0,73,631,6,0,49,564,0,0,5,No offsets
GradientDescentStrategy,3491217209_257489_1_36,3491217209,767,767,2333,MAXIMUM_EXECUTION_TIME_REACHED,15.004163265228271,2,100,668,12,0,2333,2381,0,1110,5,random
GradientDescentStrategy,3219369003_323696_0_32,3219369003,784,784,371,MAXIMUM_EXECUTION_TIME_REACHED,15.0016339302063,1,65,650,1,0,371,1192,0,44,5,random
GradientDescentStrategy,2957878958_578505_0_32771,2957878958,0,0,63,NOT_FLIPPED,4.100799560546875e-05,0,73,631,5,0,63,1046,0,0,5,No offsets
GradientDescentStrategy,3219369135_142104_0_34,3219369135,914,914,423,MAXIMUM_EXECUTION_TIME_REACHED,15.00272445678711,1,65,650,1,0,423,1278,0,56,5,random
GradientDescentStrategy,3219377583_967624_0_32770,3219377583,2708,2708,555,MAXIMUM_EXECUTION_TIME_REACHED,15.00176248550415,3,65,650,2,0,555,1433,0,3,5,random
GradientDescentStrategy,474428635_585886_0_288,474428635,0,3,311,FLIPPED_CONDITION,0.0158538818359375,1,77,773,23,0,311,1496,1,9,5,
GradientDescentStrategy,3219365109_705152_1_288,3219365109,0,1,294,FLIPPED_CONDITION,0.005676460266113281,1,165,1400,10,0,294,1181,1,52,5,
GradientDescentStrategy,3219381675_767489_1_40,3219381675,3227,9683,460,MAXIMUM_EXECUTION_TIME_REACHED,15.000568866729736,1,165,1400,10,0,460,1245,0,8,5,
GradientDescentStrategy,3012117234_161740_0_34,3012117234,0,2,120,FLIPPED_CONDITION,0.019020843505859374,1,69,193,18,0,120,1083,1,2,5,
GradientDescentStrategy,1750991023_317985_1_288,1750991023,1081,1083,235,MAXIMUM_EXECUTION_TIME_REACHED,15.001247215270997,1,10,109,3,0,235,254,0,104,5,random
GradientDescentStrategy,3219369762_877584_0_32770,3219369762,445,445,437,MAXIMUM_EXECUTION_TIME_REACHED,15.104046249389649,3,165,1400,3,0,437,1203,0,9,5,random
GradientDescentStrategy,3491171207_42987_1_32771,3491171207,0,0,731,NOT_FLIPPED,5.984306335449219e-05,0,-,-,-,-,731,1569,0,0,5,No offsets
GradientDescentStrategy,3491162726_245723_0_34,3491162726,862,862,2341,MAXIMUM_EXECUTION_TIME_REACHED,15.003179121017457,2,334,2206,679,0,2341,2381,0,1124,5,random
