Strategy, min, max, average
ConcolicStrategy,0.01,8.04,1.29
LengthTaintStrategy,0.00,0.00,0.00
RandomTaintStrategy,0.00,0.23,0.01
GradientDescentStrategy,0.00,0.08,0.00
RandomStrategy,0.00,0.07,0.03
MagicByteStrategy,0.00,0.00,0.00
OneByteStrategy,0.00,0.01,0.00
