Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
MagicByteStrategy,1903851492_539393_1_32,1903851492,0,0,70,NOT_FLIPPED,3.361701965332031e-05,0,12,153,19,0,70,74,0,0,1
MagicByteStrategy,1903858224_726465_1_34,1903858224,1,2,128,FLIPPED_CONDITION,0.014867305755615234,2,14,206,14,0,128,165,1,4,1
MagicByteStrategy,3229184935_96188_1_32771,3229184935,0,0,137,NOT_FLIPPED,5.245208740234375e-05,0,3,36,9,0,137,168,0,0,1
MagicByteStrategy,1903821528_96084_0_32,1903821528,0,0,137,NOT_FLIPPED,5.0067901611328125e-05,0,37,512,26,0,137,143,0,0,1
MagicByteStrategy,1903821363_930920_0_32771,1903821363,0,0,124,NOT_FLIPPED,0.00013947486877441406,0,37,512,5,0,124,139,0,0,1
MagicByteStrategy,3229195660_966829_1_40,3229195660,4,14,152,NOT_FLIPPED,0.28773069381713867,2,4,39,5,0,152,204,0,8,1
MagicByteStrategy,3229184935_245655_1_32,3229184935,0,0,188,NOT_FLIPPED,5.054473876953125e-05,0,3,36,9,0,188,220,0,0,1
MagicByteStrategy,1903848126_1037775_0_32,1903848126,0,14,137,NOT_FLIPPED,0.19715499877929688,1,37,512,3,0,137,139,0,1,1
MagicByteStrategy,1903830900_582185_0_32771,1903830900,0,0,124,NOT_FLIPPED,5.245208740234375e-05,0,246,2690,5,0,124,131,0,0,1
MagicByteStrategy,1903843836_582185_0_34,1903843836,0,1,127,FLIPPED_CONDITION,0.0027379989624023438,2,246,2690,14,0,127,129,1,2,1
MagicByteStrategy,3072984623_245655_0_32771,3072984623,0,0,126,NOT_FLIPPED,4.482269287109375e-05,0,-,-,-,-,126,182,0,0,1
MagicByteStrategy,1903843143_726465_1_32771,1903843143,0,0,133,NOT_FLIPPED,5.91278076171875e-05,0,14,206,17,0,133,204,0,0,1
