Strategy,Total,LengthTaintStrategy,MagicByteStrategy,RandomTaintStrategy,RandomStrategy,ConcolicStrategy,GradientDescentStrategy,OneByteStrategy
0,188,3.19,0.00,0.00,15.43,0.00,0.00,0.00
1,333,0.00,63.66,73.27,26.73,60.36,64.86,60.96
2,35,0.00,62.86,45.71,11.43,71.43,77.14,0.00
3,9,0.00,22.22,33.33,11.11,22.22,33.33,0.00
4,5,0.00,80.00,40.00,40.00,80.00,80.00,0.00
14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
