Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
RandomStrategy,98899872_765407_0_32771,98899872,160,502,147,MAXIMUM_EXECUTION_TIME_REACHED,15.041212511062621,0,6,61,4,0,147,234,0,0,5
RandomStrategy,296738722_765407_0_36,296738722,2662,4189,167,FLIPPED_CONDITION,8.171455192565919,1,6,61,4,0,167,219,1,4,5
RandomStrategy,98928384_585264_0_32771,98928384,306,1525,141,MAXIMUM_EXECUTION_TIME_REACHED,15.003660202026367,0,4,32,4,0,141,238,0,0,5
RandomStrategy,296738722_950909_0_36,296738722,1,2679,14,MAXIMUM_EXECUTION_TIME_REACHED,15.001401424407959,1,6,61,4,0,14,38,0,4,5
RandomStrategy,98928384_1000659_0_32,98928384,6,2732,22,MAXIMUM_EXECUTION_TIME_REACHED,15.002261304855347,0,4,32,4,0,22,126,0,0,5
RandomStrategy,98927229_961657_1_32,98927229,14,3755,223,FLIPPED_CONDITION,5.005180311203003,1,4,32,3,0,223,230,1,1,5
RandomStrategy,98937426_151922_1_40,98937426,16772,26149,192,MAXIMUM_EXECUTION_TIME_REACHED,15.000359439849854,1,31,339,6,0,192,199,0,2,5
RandomStrategy,296755948_74179_0_40,296755948,3964,6155,370,FLIPPED_CONDITION,5.388461351394653,1,22,149,13,0,370,502,1,164,5
RandomStrategy,98928384_35617_0_32,98928384,12,2993,332,MAXIMUM_EXECUTION_TIME_REACHED,15.001030492782593,0,4,32,4,0,332,340,0,0,5
RandomStrategy,98927229_528362_0_32,98927229,555,2546,169,MAXIMUM_EXECUTION_TIME_REACHED,15.001319646835327,1,4,32,3,0,169,256,0,1,5
RandomStrategy,890278240_261390_0_288,890278240,2745,4316,260,MAXIMUM_EXECUTION_TIME_REACHED,15.001890945434571,3,-,-,-,-,260,299,0,66,5
RandomStrategy,98928384_168856_0_32771,98928384,208,309,431,FLIPPED_CONDITION,0.6304383277893066,0,4,32,4,0,431,445,1,0,5
RandomStrategy,98924853_211100_0_38,98924853,6,778,25,MAXIMUM_EXECUTION_TIME_REACHED,15.014541721343994,1,22,149,2,0,25,39,0,3,5
RandomStrategy,296742187_919657_1_40,296742187,457,718,217,MAXIMUM_EXECUTION_TIME_REACHED,15.009298753738403,1,-,-,-,-,217,247,0,12,5
RandomStrategy,296749909_131172_1_294,296749909,0,776,16,FLIPPED_CONDITION,10.714809608459472,1,-,-,-,-,16,39,1,1,5
RandomStrategy,98909640_1000659_0_32771,98909640,3,2645,20,MAXIMUM_EXECUTION_TIME_REACHED,15.003739881515504,0,4,32,4,0,20,126,0,0,5
RandomStrategy,296855641_123985_1_38,296855641,1785,1785,281,MAXIMUM_EXECUTION_TIME_REACHED,15.002919149398803,1,22,149,4,0,281,371,0,2,5
