Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
ConcolicStrategy;1903847862_582185_1_40;1903847862;1;6;0;FLIPPED_CONDITION;0.11802816390991211;2;246;2690;28;0
ConcolicStrategy;1903829184_582185_1_32771;1903829184;20;21;0;NOT_FLIPPED;0.1187896728515625;0;246;2690;18;0
ConcolicStrategy;1903833243_582185_1_32;1903833243;20;21;0;NOT_FLIPPED;0.12420320510864258;0;246;2690;31;0
ConcolicStrategy;1903825323_1037775_0_32771;1903825323;34;49;0;NOT_FLIPPED;1.5901334285736084;0;37;512;39;0
ConcolicStrategy;1097652389_966829_1_38;1097652389;3;9;0;FLIPPED_CONDITION;8.019383430480957;2;4;39;8;0
ConcolicStrategy;611337383_520974_1_32;611337383;19;20;0;NOT_FLIPPED;0.11996960639953613;0;-;-;-;-
ConcolicStrategy;1903829184_582185_0_32;1903829184;20;22;0;NOT_FLIPPED;0.1756610870361328;0;246;2690;18;0
ConcolicStrategy;1903842780_582185_0_32;1903842780;0;1;0;FLIPPED_CONDITION;0.026120662689208984;1;246;2690;26;0
ConcolicStrategy;3068822762_582185_1_32771;3068822762;19;20;0;NOT_FLIPPED;0.12153816223144531;0;-;-;-;-
ConcolicStrategy;1903841097_539393_0_511;1903841097;8;9;0;FLIPPED_CONDITION;1.2377755641937256;1;14;206;3;2
ConcolicStrategy;1903821429_1037775_1_32771;1903821429;19;21;0;NOT_FLIPPED;0.12343692779541016;0;37;512;11;0
ConcolicStrategy;1903845618_539393_1_32;1903845618;26;29;0;NOT_FLIPPED;1.03373384475708;0;6;78;5;0
ConcolicStrategy;1903845222_582185_1_288;1903845222;0;4;0;FLIPPED_CONDITION;0.42011141777038574;2;246;2690;30;0
ConcolicStrategy;1903850337_96084_1_40;1903850337;0;1;0;FLIPPED_CONDITION;0.013294458389282227;1;37;512;3;0
ConcolicStrategy;4249714321_582185_1_38;4249714321;1;2;0;FLIPPED_CONDITION;0.047336578369140625;2;246;2690;28;0
ConcolicStrategy;3070242125_582185_0_511;3070242125;0;1;0;FLIPPED_CONDITION;0.46947813034057617;2;-;-;-;-
ConcolicStrategy;3477502214_726465_1_32771;3477502214;23;31;0;NOT_FLIPPED;8.00599217414856;0;18;138;5;0
ConcolicStrategy;3229184935_487575_1_32;3229184935;28;31;0;NOT_FLIPPED;1.3392751216888428;0;3;36;9;0
ConcolicStrategy;1903821429_96084_0_32771;1903821429;19;21;0;NOT_FLIPPED;0.12767672538757324;0;37;512;11;0
ConcolicStrategy;611337383_520974_1_32771;611337383;19;20;0;NOT_FLIPPED;0.12382888793945312;0;-;-;-;-
ConcolicStrategy;1903821462_520974_0_32771;1903821462;19;21;0;NOT_FLIPPED;0.12119126319885254;0;37;512;14;0
ConcolicStrategy;1903848126_930920_0_32;1903848126;0;0;0;NOT_FLIPPED;0.0207822322845459;1;37;512;3;0
ConcolicStrategy;1903848159_582185_1_40;1903848159;1;9;0;FLIPPED_CONDITION;0.42173004150390625;2;246;2690;28;0
ConcolicStrategy;1903847862_582185_0_40;1903847862;1;2;0;FLIPPED_CONDITION;0.03793001174926758;2;246;2690;28;0
ConcolicStrategy;611337383_930920_0_32;611337383;19;21;0;NOT_FLIPPED;0.13347864151000977;0;-;-;-;-
ConcolicStrategy;1416564213_582185_0_38;1416564213;2;4;0;FLIPPED_CONDITION;0.03590726852416992;2;246;2690;38;0
ConcolicStrategy;3786813068_582185_0_32771;3786813068;20;21;0;NOT_FLIPPED;0.17328500747680664;0;-;-;-;-
ConcolicStrategy;3229184935_886690_1_32;3229184935;29;31;0;NOT_FLIPPED;1.83082914352417;0;3;36;9;0
ConcolicStrategy;611337383_441853_1_32;611337383;19;20;0;NOT_FLIPPED;0.12769484519958496;0;-;-;-;-
ConcolicStrategy;3229184935_569562_1_32;3229184935;20;21;0;NOT_FLIPPED;0.1212775707244873;0;3;36;9;0
ConcolicStrategy;1903824597_1037775_0_32771;1903824597;34;49;0;NOT_FLIPPED;1.6432642936706543;0;37;512;39;0
ConcolicStrategy;1903833936_582185_1_32771;1903833936;22;29;0;NOT_FLIPPED;8.037282705307007;0;246;2690;24;0
ConcolicStrategy;1903857795_245655_1_34;1903857795;0;1;0;FLIPPED_CONDITION;8.008010387420654;2;6;78;14;0
ConcolicStrategy;1903864725_123636_1_32;1903864725;0;1;0;FLIPPED_CONDITION;0.3669393062591553;1;7;45;3;0
ConcolicStrategy;1903877529_441853_1_32;1903877529;0;1;0;FLIPPED_CONDITION;0.01984858512878418;2;37;512;3;0
ConcolicStrategy;1903851228_539393_1_32;1903851228;15;15;0;NOT_FLIPPED;0.11938261985778809;0;12;153;19;0
ConcolicStrategy;1903848126_96084_1_32;1903848126;0;1;0;FLIPPED_CONDITION;0.018624305725097656;2;37;512;3;0
