Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases
RandomStrategy,3999420115_129207_0_32,3999420115,25,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05262446403503418,1,86,322,2,0
RandomStrategy,3307621814_586862_2_255,3307621814,82,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.048676490783691406,7,18,164,1,10
RandomStrategy,3307700816_384186_1_34,3307700816,67,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05449366569519043,2,122,792,77,0
RandomStrategy,2455878585_251725_1_36,2455878585,23,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04916644096374512,2,34,175,1,0
RandomStrategy,3307621814_52882_0_255,3307621814,65,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04673361778259277,7,18,164,1,10
RandomStrategy,1632342941_384186_1_32,1632342941,83,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04628777503967285,6,122,792,46,0
RandomStrategy,3307621814_769532_0_511,3307621814,78,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.045720577239990234,13,18,164,1,10
RandomStrategy,3307664285_833007_1_34,3307664285,73,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05443882942199707,2,122,792,103,0
RandomStrategy,1332978173_509569_1_288,1332978173,999,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04694771766662598,1,122,792,14,0
RandomStrategy,3478200441_174840_1_38,3478200441,40,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04676461219787598,9,32,323,2,0
RandomStrategy,3307644023_651763_0_32,3307644023,65,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05315423011779785,15,18,164,35,0
RandomStrategy,4139835065_557481_0_32,4139835065,15,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05432939529418945,1,49,288,2,0
RandomStrategy,3307621814_769532_2_255,3307621814,90,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0467684268951416,13,18,164,1,10
RandomStrategy,3307679201_962516_1_40,3307679201,85,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04858827590942383,12,122,792,57,0
RandomStrategy,3307644023_989719_0_32,3307644023,69,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05182456970214844,15,18,164,35,0
RandomStrategy,3307658213_962516_1_32,3307658213,87,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.046124935150146484,12,122,792,46,0
RandomStrategy,3307621814_263228_0_255,3307621814,72,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04726767539978027,9,18,164,1,10
RandomStrategy,3307704611_962516_0_40,3307704611,81,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05175900459289551,17,122,792,55,0
RandomStrategy,3307701278_384186_0_34,3307701278,82,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04715299606323242,2,122,792,77,0
RandomStrategy,1844666732_174840_1_40,1844666732,40,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05149388313293457,9,32,323,5,0
RandomStrategy,1830482155_129207_1_32,1830482155,24,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04767870903015137,1,86,322,2,0
RandomStrategy,3307642274_833007_1_32,3307642274,49,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047315120697021484,8,122,792,103,0
RandomStrategy,3307621814_781256_0_511,3307621814,85,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.050518035888671875,7,18,164,1,10
RandomStrategy,3478211694_174840_1_32,3478211694,32,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05118250846862793,9,32,323,8,0
RandomStrategy,2562861074_45251_0_38,2562861074,55,715,0,FLIPPED_CONDITION,0.03536415100097656,18,32,323,23,0
RandomStrategy,3307644023_896686_0_32,3307644023,80,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04913663864135742,11,18,164,35,0
RandomStrategy,3307644023_477035_1_32,3307644023,81,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04796314239501953,9,18,164,35,0
RandomStrategy,3307672370_509569_0_32,3307672370,63,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04904747009277344,2,122,792,46,0
