Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
RandomTaintStrategy;3219381675_483025_0_40;3219381675;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.07592916488647461;1;165;1400;10;0
RandomTaintStrategy;3219392499_483025_0_32770;3219392499;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06939435005187988;3;165;1400;3;0
RandomTaintStrategy;1355702673_572790_0_32771;1355702673;0;0;0;NOT_FLIPPED;3.337860107421875e-05;0;334;2206;3;0
RandomTaintStrategy;3219391575_483025_1_34;3219391575;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.08582615852355957;1;165;1400;14;0
RandomTaintStrategy;3219381906_483025_0_40;3219381906;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.07696318626403809;1;165;1400;14;0
RandomTaintStrategy;3219431010_794998_0_40;3219431010;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.05753493309020996;1;-;-;-;-
RandomTaintStrategy;2904720716_680170_1_288;2904720716;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.042732954025268555;1;8;65;7;0
RandomTaintStrategy;1423215121_735249_2_511;1423215121;0;2;0;FLIPPED_CONDITION;0.0007898807525634766;1;69;193;16;12
RandomTaintStrategy;474424180_865792_0_32;474424180;0;66;0;FLIPPED_CONDITION;0.006393909454345703;1;6;71;10;0
RandomTaintStrategy;3831542166_894204_0_36;3831542166;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.07946014404296875;5;7;58;2;0
RandomTaintStrategy;1883553587_201243_1_36;1883553587;0;0;0;NOT_FLIPPED;9.512901306152344e-05;0;334;2206;680;0
RandomTaintStrategy;3831578004_629153_0_34;3831578004;0;0;0;NOT_FLIPPED;1.9550323486328125e-05;0;8;65;11;0
RandomTaintStrategy;3491159360_911799_1_34;3491159360;0;0;0;NOT_FLIPPED;2.86102294921875e-05;0;40;367;18;0
RandomTaintStrategy;4269645364_212233_2_511;4269645364;0;1;0;FLIPPED_CONDITION;0.0005450248718261719;1;69;193;16;12
RandomTaintStrategy;474415798_161740_1_32771;474415798;0;0;0;NOT_FLIPPED;1.9550323486328125e-05;0;69;193;14;0
RandomTaintStrategy;3491199719_763206_1_288;3491199719;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06641507148742676;3;27;314;33;0
RandomTaintStrategy;3491140220_356064_0_288;3491140220;0;15;0;FLIPPED_CONDITION;0.002185344696044922;1;334;2206;7;0
RandomTaintStrategy;474415798_128810_1_32771;474415798;0;0;0;NOT_FLIPPED;3.075599670410156e-05;0;69;193;14;0
RandomTaintStrategy;3491151110_377632_1_36;3491151110;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04391217231750488;1;334;2206;7;0
RandomTaintStrategy;3491113061_621297_0_511;3491113061;0;250;0;FLIPPED_CONDITION;0.01445627212524414;1;81;663;29;2
RandomTaintStrategy;4067984078_114499_1_32771;4067984078;0;0;0;NOT_FLIPPED;3.337860107421875e-05;0;77;773;5;0
RandomTaintStrategy;2957884502_578505_1_288;2957884502;0;1;0;FLIPPED_CONDITION;0.000820159912109375;1;73;631;4;0
RandomTaintStrategy;3491181998_750996_0_288;3491181998;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.0454401969909668;1;27;314;24;0
RandomTaintStrategy;3012117234_571639_1_34;3012117234;0;44;0;FLIPPED_CONDITION;0.0030112266540527344;1;69;193;18;0
RandomTaintStrategy;3491188268_955271_1_34;3491188268;0;0;0;NOT_FLIPPED;3.838539123535156e-05;0;100;668;11;0
RandomTaintStrategy;1883486069_572790_0_288;1883486069;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04955244064331055;2;334;2206;9;0
RandomTaintStrategy;3219382170_794998_1_32;3219382170;0;1;0;FLIPPED_CONDITION;0.0012881755828857422;4;74;809;7;0
RandomTaintStrategy;474415798_651826_1_32771;474415798;0;0;0;NOT_FLIPPED;2.1696090698242188e-05;0;69;193;14;0
RandomTaintStrategy;2435694843_212233_0_34;2435694843;0;1;0;FLIPPED_CONDITION;0.001394033432006836;1;69;193;18;0
RandomTaintStrategy;1068275576_386078_0_32771;1068275576;0;0;0;NOT_FLIPPED;4.2438507080078125e-05;0;74;809;47;0
RandomTaintStrategy;1883547152_377632_1_32771;1883547152;0;0;0;NOT_FLIPPED;3.314018249511719e-05;0;334;2206;5;0
RandomTaintStrategy;3831542430_435793_0_36;3831542430;0;0;0;NOT_FLIPPED;2.384185791015625e-05;0;7;58;2;0
RandomTaintStrategy;474408241_735249_0_511;474408241;0;1;0;FLIPPED_CONDITION;0.0004417896270751953;1;69;193;15;9
RandomTaintStrategy;1883541410_38881_1_288;1883541410;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06362032890319824;3;40;367;8;0
RandomTaintStrategy;2957884502_578505_0_288;2957884502;0;88;0;FLIPPED_CONDITION;0.005944013595581055;1;73;631;4;0
RandomTaintStrategy;3831551769_466620_0_288;3831551769;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04548525810241699;1;8;65;5;0
RandomTaintStrategy;1641146408_711506_1_32771;1641146408;0;0;0;NOT_FLIPPED;2.7179718017578125e-05;0;24;216;3;0
RandomTaintStrategy;3491168303_501067_1_36;3491168303;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06368088722229004;1;40;367;5;0
RandomTaintStrategy;851095267_578505_0_36;851095267;0;0;0;NOT_FLIPPED;2.6226043701171875e-05;0;73;631;5;0
RandomTaintStrategy;474436423_670397_0_32;474436423;1;255;0;FLIPPED_CONDITION;0.013514280319213867;1;77;773;24;0
RandomTaintStrategy;1423285510_7102_0_32771;1423285510;0;0;0;NOT_FLIPPED;3.528594970703125e-05;0;6;71;4;0
RandomTaintStrategy;2957879981_1013869_0_32771;2957879981;0;0;0;NOT_FLIPPED;2.193450927734375e-05;0;73;631;3;0
RandomTaintStrategy;4269746938_226656_0_36;4269746938;0;0;0;NOT_FLIPPED;2.4318695068359375e-05;0;77;773;15;0
RandomTaintStrategy;2071589212_612149_1_288;2071589212;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.048499345779418945;1;9;98;4;0
RandomTaintStrategy;3831578004_1041754_1_32771;3831578004;0;0;0;NOT_FLIPPED;1.9073486328125e-05;0;8;65;11;0
RandomTaintStrategy;2957897075_191669_0_288;2957897075;16;18;0;FLIPPED_CONDITION;0.001575469970703125;1;19;206;9;0
RandomTaintStrategy;3831543321_281139_1_36;3831543321;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.05681109428405762;2;8;65;2;0
RandomTaintStrategy;3831542166_982388_0_32771;3831542166;0;0;0;NOT_FLIPPED;2.1219253540039062e-05;0;7;58;2;0
RandomTaintStrategy;3219367452_967624_1_32;3219367452;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06817460060119629;1;65;650;1;0
RandomTaintStrategy;3219373524_767489_0_32770;3219373524;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06878447532653809;3;165;1400;3;0
RandomTaintStrategy;3219401046_483025_0_32;3219401046;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.08470606803894043;1;165;1400;14;0
RandomTaintStrategy;3491161406_245723_0_34;3491161406;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.058130502700805664;2;334;2206;4;0
RandomTaintStrategy;1355704752_528566_1_36;1355704752;0;0;0;NOT_FLIPPED;2.2649765014648438e-05;0;-;-;-;-
RandomTaintStrategy;3219364185_767489_1_288;3219364185;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06791043281555176;1;165;1400;10;0
RandomTaintStrategy;3491160746_572790_1_34;3491160746;0;0;0;NOT_FLIPPED;3.814697265625e-05;0;334;2206;4;0
RandomTaintStrategy;3491163980_201243_0_34;3491163980;0;0;0;NOT_FLIPPED;4.029273986816406e-05;0;334;2206;679;0
RandomTaintStrategy;474418768_226656_1_288;474418768;0;0;0;NOT_FLIPPED;3.0517578125e-05;0;77;773;22;0
RandomTaintStrategy;474418570_114499_0_288;474418570;0;323;0;FLIPPED_CONDITION;0.026894807815551758;1;77;773;18;0
RandomTaintStrategy;1355686932_245723_0_36;1355686932;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.05058574676513672;2;334;2206;5;0
RandomTaintStrategy;1919739159_369537_1_32;1919739159;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.07210969924926758;2;9;98;8;0
RandomTaintStrategy;3204516067_142104_0_288;3204516067;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.09168124198913574;1;-;-;-;-
RandomTaintStrategy;3831557643_400634_0_32771;3831557643;0;0;0;NOT_FLIPPED;2.5510787963867188e-05;0;6;78;18;0
RandomTaintStrategy;4219001501_128810_2_511;4219001501;1;2;0;FLIPPED_CONDITION;0.0005240440368652344;1;69;193;16;12
RandomTaintStrategy;1068275576_386078_0_36;1068275576;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.2336275577545166;5;74;809;47;0
RandomTaintStrategy;3831553518_1001630_1_32771;3831553518;0;0;0;NOT_FLIPPED;2.2649765014648438e-05;0;8;65;8;0
RandomTaintStrategy;3831543684_55978_1_32771;3831543684;0;0;0;NOT_FLIPPED;2.288818359375e-05;0;7;58;3;0
RandomTaintStrategy;3219433155_1037452_1_32771;3219433155;0;0;0;NOT_FLIPPED;1.9788742065429688e-05;0;124;1489;6;0
RandomTaintStrategy;3831549063_776199_0_40;3831549063;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.051157236099243164;1;7;58;4;0
RandomTaintStrategy;3831537381_771538_0_511;3831537381;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04422307014465332;1;23;198;7;4
RandomTaintStrategy;1750987657_1039992_0_32771;1750987657;0;0;0;NOT_FLIPPED;5.698204040527344e-05;0;5;38;4;0
RandomTaintStrategy;3831543684_894204_1_36;3831543684;0;0;0;NOT_FLIPPED;2.2172927856445312e-05;0;7;58;3;0
RandomTaintStrategy;2904720716_466620_0_288;2904720716;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.05511832237243652;1;8;65;7;0
RandomTaintStrategy;170067695_990946_0_288;170067695;101;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04698753356933594;1;88;735;9;0
RandomTaintStrategy;3491180744_612041_0_32771;3491180744;0;0;0;NOT_FLIPPED;2.3603439331054688e-05;0;9;86;6;0
RandomTaintStrategy;3219403389_386078_0_288;3219403389;0;0;0;NOT_FLIPPED;2.2411346435546875e-05;0;74;809;32;0
RandomTaintStrategy;2957897174_345873_0_288;2957897174;18;19;0;FLIPPED_CONDITION;0.002759218215942383;1;19;206;9;0
RandomTaintStrategy;474424180_439294_1_288;474424180;0;1;0;FLIPPED_CONDITION;0.0010464191436767578;1;6;71;10;0
RandomTaintStrategy;474420418_114499_1_32771;474420418;0;0;0;NOT_FLIPPED;2.6464462280273438e-05;0;77;773;8;0
RandomTaintStrategy;1883541410_869495_1_288;1883541410;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.08839297294616699;5;40;367;8;0
RandomTaintStrategy;2919979081_990946_1_32;2919979081;0;1;0;FLIPPED_CONDITION;0.0006721019744873047;1;88;735;5;0
RandomTaintStrategy;851210800_1013869_0_288;851210800;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.05309271812438965;2;-;-;-;-
RandomTaintStrategy;3491180744_993842_0_36;3491180744;0;0;0;NOT_FLIPPED;2.7418136596679688e-05;0;9;86;6;0
RandomTaintStrategy;2957908625_191669_0_288;2957908625;0;1;0;FLIPPED_CONDITION;0.0017752647399902344;1;19;206;9;0
RandomTaintStrategy;1423250167_735249_1_32771;1423250167;0;0;0;NOT_FLIPPED;4.029273986816406e-05;0;69;193;14;0
RandomTaintStrategy;1423250167_212233_1_36;1423250167;0;0;0;NOT_FLIPPED;3.0040740966796875e-05;0;69;193;14;0
RandomTaintStrategy;4269645364_651826_2_511;4269645364;0;1;0;FLIPPED_CONDITION;0.0015900135040283203;1;69;193;16;12
RandomTaintStrategy;3611357393_945229_0_32771;3611357393;0;0;0;NOT_FLIPPED;2.47955322265625e-05;0;-;-;-;-
RandomTaintStrategy;3204361924_941515_1_32;3204361924;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.06312084197998047;1;-;-;-;-
RandomTaintStrategy;1355702673_201243_0_32771;1355702673;0;0;0;NOT_FLIPPED;2.3603439331054688e-05;0;334;2206;3;0
RandomTaintStrategy;1423212349_585886_0_511;1423212349;0;1;0;FLIPPED_CONDITION;0.002161264419555664;1;77;773;16;4
RandomTaintStrategy;1355883249_223698_1_32;1355883249;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.051232337951660156;1;27;314;24;0
RandomTaintStrategy;3491180744_701929_0_36;3491180744;0;0;0;NOT_FLIPPED;2.4318695068359375e-05;0;9;86;6;0
RandomTaintStrategy;170067695_990946_1_32;170067695;0;1;0;FLIPPED_CONDITION;0.0009171962738037109;1;88;735;9;0
RandomTaintStrategy;3491190842_396226_0_288;3491190842;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.047454833984375;1;27;314;29;0
RandomTaintStrategy;1883546657_967053_0_32771;1883546657;0;0;0;NOT_FLIPPED;3.0279159545898438e-05;0;334;2206;4;0
RandomTaintStrategy;3831545334_170764_0_34;3831545334;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.05420422554016113;1;8;65;11;0
RandomTaintStrategy;3219369003_142104_0_32;3219369003;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.08337879180908203;1;65;650;1;0
RandomTaintStrategy;1883630807_208561_1_288;1883630807;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04666924476623535;1;27;314;10;0
RandomTaintStrategy;3219423057_1037452_0_38;3219423057;0;1;0;FLIPPED_CONDITION;0.001565694808959961;1;124;1489;12;0
RandomTaintStrategy;1423258879_585886_0_288;1423258879;1;83;0;FLIPPED_CONDITION;0.012987613677978516;1;77;773;16;0
RandomTaintStrategy;1883561309_501067_0_32771;1883561309;0;0;0;NOT_FLIPPED;2.193450927734375e-05;0;40;367;9;0
