cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
2288608249, 848649, 65538, 8, 65535, 32771, 2, 2, 2, true, , Offset
2675955822, 203235, 65537, 4, 65535, 32771, 2, 34, ffffffffffffffff, true, , Offset
2523056947, 848649, 1, 4, 65535, 32, 2, 68, 7f, true, , OneByte
2676007764, 810992, 65539, 4, 65535, 32771, 2, 0, 34, true, , Offset
2288608249, 848649, 65541, 4, 65535, 32771, 2, 6, 6, true, , Offset
2675955822, 434723, 65537, 4, 65535, 32771, 2, 41, ffffffffffffffff, true, , Offset
2676007764, 810992, 65542, 4, 65535, 32771, 2, 0, 41, true, , Offset
2288608249, 848649, 65549, 41, 65535, 32771, 2, 4, 4, true, , Offset
2288608249, 848649, 65550, 23, 65535, 32771, 2, 2, 2, true, , Offset
2288608249, 848649, 65552, 23, 65535, 32771, 2, 9, 9, true, , Offset
1233665948, 141617, 1, 18, 65535, 32, 2, 68, 7f, true, , OneByte
1232676047, 141617, 1, 18, 65535, 32, 2, 68, 7f, true, , OneByte
2288608249, 438053, 65537, 11, 65535, 32771, 2, 10, 10, true, , Offset
250315810, 438053, 1, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 1, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250351681, 587991, 65537, 5, 65535, 32771, 2, 10, 10, true, , Offset
2252921593, 587991, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 2, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 2, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 2, 164, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 2, 164, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 2, 164, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 2, 191, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 2, 164, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 3, 166, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 3, 166, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 3, 189, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 3, 189, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 3, 189, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 3, 191, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 3, 164, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 4, 166, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 4, 166, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 4, 189, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 4, 189, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 4, 189, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 4, 191, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 4, 164, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 5, 166, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 5, 166, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 5, 189, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 5, 189, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 5, 189, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 5, 191, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 5, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 6, 5, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 6, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 6, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 6, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 6, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 6, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 6, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 7, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 7, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 7, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 7, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 7, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 7, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 7, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 8, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 8, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 8, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 8, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 8, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 8, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 8, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 9, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 9, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 9, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 9, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 9, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 9, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 9, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 10, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 10, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 10, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 10, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 10, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 10, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 10, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 11, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 11, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 11, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 11, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 11, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 11, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 11, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 12, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 12, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 12, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 12, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 12, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 12, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 12, 5, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 438053, 13, 11, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 438053, 13, 11, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 438053, 13, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 438053, 13, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 438053, 13, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 587991, 13, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 587991, 13, 5, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 735111, 1, 17, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 735111, 1, 17, 65535, 32770, 2, 0, 0, true, , Offset
250315810, 483315, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
750957331, 483315, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321354, 483315, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321420, 483315, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250321750, 483315, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
2252921593, 591873, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
250320298, 591873, 1, 5, 65535, 32770, 2, 0, 0, true, , Offset
2676007764, 829371, 65537, 132, 65535, 32771, 2, 8, 8, true, , Offset
762865291, 299041, 65537, 132, 65535, 32771, 2, 0, 3c, true, , Offset
2675955822, 547050, 65537, 5, 65535, 32771, 2, 11, ffffffffffffffff, true, , Offset
250345345, 299041, 65537, 132, 65535, 32771, 2, 0, 3c, true, , Offset
1163172273, 848649, 1, 6, 65535, 32, 2, 65, 24, true, , OneByte
968183433, 848649, 1, 170, 65535, 16416, 0, 31, 0, true, 1-2, Unsolvable
123716309, 848649, 1, 127, 65535, 32, 2, 0, 63, true, , OneByte
968238972, 848649, 1, 170, 65535, 16416, 0, 31, 0, true, 2-3, Unsolvable
124216160, 848649, 1, 7, 65535, 32, 2, 63, 63, true, , OneByte
762865291, 848649, 65550, 8, 65535, 32771, 2, 2, 2, true, , Offset
762865291, 397455, 65537, 9, 65535, 32771, 2, 11, 3c, true, , Offset
2675955822, 710724, 65537, 164, 65535, 32771, 2, 3c, ffffffffffffffff, true, , Offset
250345345, 397455, 65537, 9, 65535, 32771, 2, 11, 3c, true, , Offset
762865291, 956607, 65537, 11, 65535, 32771, 2, 11, 3c, true, , Offset
2675955822, 151668, 65537, 166, 65535, 32771, 2, 3c, ffffffffffffffff, true, , Offset
250345345, 956607, 65537, 11, 65535, 32771, 2, 11, 3c, true, , Offset
762865291, 1015059, 65537, 12, 65535, 32771, 2, 11, 3c, true, , Offset
2675955822, 243160, 65537, 165, 65535, 32771, 2, 3c, ffffffffffffffff, true, , Offset
250345345, 1015059, 65537, 12, 65535, 32771, 2, 11, 3c, true, , Offset
2798785617, 399172, 65537, 169, 65535, 32771, 2, 10, 0, true, , Offset
2798785683, 399172, 65537, 194, 65535, 32771, 2, 10, 10, true, , Offset
2798783736, 399172, 1, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 1, 194, 65535, 32770, 2, 0, 0, true, , Offset
762865291, 870076, 65537, 13, 65535, 32771, 2, 11, 3c, true, , Offset
2675955822, 102007, 65537, 194, 65535, 32771, 2, 2d, ffffffffffffffff, true, , Offset
250345345, 870076, 65537, 13, 65535, 32771, 2, 11, 3c, true, , Offset
2798783736, 399172, 2, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 2, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 3, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 3, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 4, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 4, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 5, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 5, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 6, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 6, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 7, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 7, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 8, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 8, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 9, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 9, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 10, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 10, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 11, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 11, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 12, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 12, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798783736, 399172, 13, 194, 65535, 32770, 2, 0, 0, true, , Offset
2798786013, 399172, 13, 194, 65535, 32770, 2, 0, 0, true, , Offset
3010873659, 848649, 1, 439, 65535, 16416, 0, 30, 0, true, 1-2, Unsolvable
1328059159, 848649, 1, 385, 65535, 32, 2, e, 63, true, , OneByte
3362597843, 848649, 1, 439, 65535, 16416, 0, 30, 0, true, 2-3, Unsolvable
198609519, 848649, 1, 14, 65535, 32, 2, 63, 63, true, , OneByte
762865291, 438053, 65538, 15, 65535, 32771, 2, 11, 3c, true, , Offset
